OrderID,ProductID,UnitPrice,Quantity,Discount,ProductName,QuantityPerUnit
1,3,7737.7,8,0.1,谷歌智能开关Standard,2个/包
1,4,4806.11,1,0.1,格力智能手环Mini,1个/盒
1,6,4680.67,9,0.05,博世智能摄像头Ultra,2个/包
2,3,7906.07,9,0.2,谷歌智能开关Standard,2个/包
2,4,5009.22,7,0.15,格力智能手环Mini,1个/盒
2,6,4629.92,1,0.1,博世智能摄像头Ultra,2个/包
2,8,3171.34,8,0.1,苹果智能空调Max,1个/盒
2,10,8029.47,8,0.15,小米智能音箱Basic,1台/件
3,3,8226.69,19,0.0,谷歌智能开关Standard,2个/包
3,8,3143.54,8,0.1,苹果智能空调Max,1个/盒
4,10,7746.31,16,0.05,小米智能音箱Basic,1台/件
5,7,2428.38,19,0.2,谷歌智能空气净化器Standard,3个/套
5,10,7999.72,12,0.2,小米智能音箱Basic,1台/件
6,1,3475.74,11,0.05,松下智能电视Mini,5个/套
6,5,9840.81,7,0.0,飞利浦智能洗衣机Elite,2个/包
6,9,5746.18,16,0.0,松下智能空调Lite,1套/箱
6,10,7394.59,19,0.0,小米智能音箱Basic,1台/件
7,9,5927.45,17,0.2,松下智能空调Lite,1套/箱
7,10,8067.74,11,0.2,小米智能音箱Basic,1台/件
8,1,3264.68,15,0.15,松下智能电视Mini,5个/套
9,3,8117.66,8,0.2,谷歌智能开关Standard,2个/包
9,4,5242.7,19,0.0,格力智能手环Mini,1个/盒
9,5,10098.06,13,0.0,飞利浦智能洗衣机Elite,2个/包
9,8,3068.19,20,0.2,苹果智能空调Max,1个/盒
9,9,6133.13,2,0.0,松下智能空调Lite,1套/箱
10,9,5640.78,10,0.05,松下智能空调Lite,1套/箱
11,3,7931.23,11,0.05,谷歌智能开关Standard,2个/包
11,6,4325.45,2,0.1,博世智能摄像头Ultra,2个/包
11,7,2416.38,7,0.0,谷歌智能空气净化器Standard,3个/套
11,8,3137.69,14,0.1,苹果智能空调Max,1个/盒
11,9,5816.96,12,0.2,松下智能空调Lite,1套/箱
12,1,3240.9,18,0.0,松下智能电视Mini,5个/套
12,6,4589.81,12,0.05,博世智能摄像头Ultra,2个/包
12,8,3275.09,8,0.15,苹果智能空调Max,1个/盒
13,3,7819.71,3,0.2,谷歌智能开关Standard,2个/包
13,5,9432.14,8,0.1,飞利浦智能洗衣机Elite,2个/包
13,6,4591.01,10,0.1,博世智能摄像头Ultra,2个/包
13,8,3045.09,16,0.15,苹果智能空调Max,1个/盒
13,9,5848.87,5,0.1,松下智能空调Lite,1套/箱
14,9,5585.94,9,0.2,松下智能空调Lite,1套/箱
15,4,4825.91,20,0.0,格力智能手环Mini,1个/盒
15,5,9923.46,3,0.15,飞利浦智能洗衣机Elite,2个/包
16,1,3568.95,10,0.0,松下智能电视Mini,5个/套
16,8,3096.31,3,0.1,苹果智能空调Max,1个/盒
17,1,3353.0,11,0.0,松下智能电视Mini,5个/套
17,7,2529.27,1,0.15,谷歌智能空气净化器Standard,3个/套
18,4,4943.24,14,0.2,格力智能手环Mini,1个/盒
19,1,3263.1,5,0.0,松下智能电视Mini,5个/套
19,2,8069.98,3,0.0,小米智能插座Advanced,3个/套
19,3,7899.28,10,0.05,谷歌智能开关Standard,2个/包
19,4,5106.74,2,0.2,格力智能手环Mini,1个/盒
19,5,9593.53,4,0.2,飞利浦智能洗衣机Elite,2个/包
20,2,8110.27,11,0.0,小米智能插座Advanced,3个/套
20,5,10119.33,5,0.1,飞利浦智能洗衣机Elite,2个/包
20,8,3207.15,3,0.2,苹果智能空调Max,1个/盒
20,10,7562.63,13,0.15,小米智能音箱Basic,1台/件
21,1,3559.04,9,0.05,松下智能电视Mini,5个/套
22,9,5646.96,2,0.1,松下智能空调Lite,1套/箱
23,6,4345.7,18,0.15,博世智能摄像头Ultra,2个/包
24,5,10286.45,7,0.15,飞利浦智能洗衣机Elite,2个/包
24,6,4607.26,6,0.15,博世智能摄像头Ultra,2个/包
24,7,2640.26,11,0.2,谷歌智能空气净化器Standard,3个/套
24,10,7503.1,13,0.2,小米智能音箱Basic,1台/件
25,2,8106.01,8,0.15,小米智能插座Advanced,3个/套
25,8,3060.81,6,0.05,苹果智能空调Max,1个/盒
26,2,8311.7,11,0.2,小米智能插座Advanced,3个/套
26,3,7656.57,19,0.0,谷歌智能开关Standard,2个/包
26,5,9773.05,10,0.2,飞利浦智能洗衣机Elite,2个/包
26,6,4388.8,19,0.2,博世智能摄像头Ultra,2个/包
26,7,2624.76,3,0.15,谷歌智能空气净化器Standard,3个/套
27,2,8580.82,12,0.05,小米智能插座Advanced,3个/套
27,4,5191.35,19,0.0,格力智能手环Mini,1个/盒
27,6,4327.39,2,0.05,博世智能摄像头Ultra,2个/包
27,7,2545.38,12,0.2,谷歌智能空气净化器Standard,3个/套
27,9,6124.39,20,0.05,松下智能空调Lite,1套/箱
28,2,8204.17,4,0.05,小米智能插座Advanced,3个/套
28,6,4392.37,4,0.05,博世智能摄像头Ultra,2个/包
28,8,3332.72,9,0.2,苹果智能空调Max,1个/盒
28,9,6053.92,6,0.15,松下智能空调Lite,1套/箱
28,10,7516.29,7,0.2,小米智能音箱Basic,1台/件
29,3,8251.24,15,0.15,谷歌智能开关Standard,2个/包
29,8,3158.05,15,0.0,苹果智能空调Max,1个/盒
30,4,4826.67,5,0.15,格力智能手环Mini,1个/盒
30,5,9843.58,2,0.05,飞利浦智能洗衣机Elite,2个/包
30,6,4449.6,14,0.15,博世智能摄像头Ultra,2个/包
31,1,3559.6,3,0.2,松下智能电视Mini,5个/套
31,2,8723.99,4,0.2,小米智能插座Advanced,3个/套
31,10,8137.64,7,0.05,小米智能音箱Basic,1台/件
32,2,8202.16,8,0.1,小米智能插座Advanced,3个/套
32,4,5094.67,17,0.1,格力智能手环Mini,1个/盒
32,5,9343.77,5,0.2,飞利浦智能洗衣机Elite,2个/包
32,7,2518.35,4,0.2,谷歌智能空气净化器Standard,3个/套
32,8,3191.15,12,0.0,苹果智能空调Max,1个/盒
33,1,3479.87,15,0.1,松下智能电视Mini,5个/套
33,3,7786.62,15,0.1,谷歌智能开关Standard,2个/包
33,5,9532.78,10,0.1,飞利浦智能洗衣机Elite,2个/包
33,7,2502.35,9,0.15,谷歌智能空气净化器Standard,3个/套
34,2,8218.47,9,0.1,小米智能插座Advanced,3个/套
34,8,3238.09,3,0.15,苹果智能空调Max,1个/盒
34,9,5770.22,4,0.2,松下智能空调Lite,1套/箱
35,2,7961.65,2,0.1,小米智能插座Advanced,3个/套
35,5,9359.24,18,0.05,飞利浦智能洗衣机Elite,2个/包
35,6,4376.97,10,0.2,博世智能摄像头Ultra,2个/包
35,7,2455.96,11,0.15,谷歌智能空气净化器Standard,3个/套
35,10,7843.58,18,0.0,小米智能音箱Basic,1台/件
36,8,3025.87,18,0.1,苹果智能空调Max,1个/盒
36,9,5975.52,6,0.05,松下智能空调Lite,1套/箱
36,10,7659.48,4,0.05,小米智能音箱Basic,1台/件
37,1,3424.96,1,0.1,松下智能电视Mini,5个/套
37,2,8358.78,17,0.05,小米智能插座Advanced,3个/套
37,5,9810.76,20,0.2,飞利浦智能洗衣机Elite,2个/包
37,8,3312.14,15,0.15,苹果智能空调Max,1个/盒
38,6,4668.75,13,0.2,博世智能摄像头Ultra,2个/包
39,3,8313.26,18,0.1,谷歌智能开关Standard,2个/包
39,5,10288.66,18,0.0,飞利浦智能洗衣机Elite,2个/包
39,7,2455.4,14,0.0,谷歌智能空气净化器Standard,3个/套
39,9,5641.54,7,0.1,松下智能空调Lite,1套/箱
40,5,9370.5,20,0.0,飞利浦智能洗衣机Elite,2个/包
40,8,3293.14,13,0.2,苹果智能空调Max,1个/盒
40,9,5960.79,13,0.15,松下智能空调Lite,1套/箱
41,1,3412.51,17,0.15,松下智能电视Mini,5个/套
41,5,10007.96,8,0.05,飞利浦智能洗衣机Elite,2个/包
42,2,8231.38,15,0.0,小米智能插座Advanced,3个/套
42,3,7943.99,11,0.0,谷歌智能开关Standard,2个/包
43,2,8593.7,20,0.05,小米智能插座Advanced,3个/套
43,7,2531.15,19,0.2,谷歌智能空气净化器Standard,3个/套
43,8,3277.61,2,0.15,苹果智能空调Max,1个/盒
44,1,3285.38,4,0.05,松下智能电视Mini,5个/套
44,2,8186.67,6,0.05,小米智能插座Advanced,3个/套
44,7,2454.98,17,0.05,谷歌智能空气净化器Standard,3个/套
44,9,5820.16,1,0.15,松下智能空调Lite,1套/箱
45,2,8257.82,6,0.0,小米智能插座Advanced,3个/套
45,3,8217.18,6,0.1,谷歌智能开关Standard,2个/包
45,6,4352.83,9,0.1,博世智能摄像头Ultra,2个/包
45,9,5761.63,3,0.15,松下智能空调Lite,1套/箱
46,1,3455.7,16,0.15,松下智能电视Mini,5个/套
46,2,8656.85,7,0.1,小米智能插座Advanced,3个/套
46,4,4990.49,3,0.05,格力智能手环Mini,1个/盒
46,5,9987.28,17,0.0,飞利浦智能洗衣机Elite,2个/包
46,9,5920.03,18,0.1,松下智能空调Lite,1套/箱
47,1,3449.75,14,0.15,松下智能电视Mini,5个/套
47,4,5053.49,20,0.05,格力智能手环Mini,1个/盒
48,10,8047.76,11,0.2,小米智能音箱Basic,1台/件
49,2,8708.55,7,0.2,小米智能插座Advanced,3个/套
49,3,8433.39,7,0.2,谷歌智能开关Standard,2个/包
49,4,5045.4,5,0.2,格力智能手环Mini,1个/盒
49,5,9911.12,14,0.0,飞利浦智能洗衣机Elite,2个/包
50,5,10103.82,13,0.15,飞利浦智能洗衣机Elite,2个/包
50,7,2647.96,9,0.1,谷歌智能空气净化器Standard,3个/套
50,8,3020.33,16,0.2,苹果智能空调Max,1个/盒
51,5,9334.31,2,0.2,飞利浦智能洗衣机Elite,2个/包
51,7,2515.43,5,0.05,谷歌智能空气净化器Standard,3个/套
51,9,5740.02,13,0.2,松下智能空调Lite,1套/箱
52,3,8139.91,16,0.15,谷歌智能开关Standard,2个/包
52,6,4395.71,14,0.15,博世智能摄像头Ultra,2个/包
52,9,5552.63,15,0.2,松下智能空调Lite,1套/箱
52,10,7576.0,19,0.0,小米智能音箱Basic,1台/件
53,1,3463.13,8,0.0,松下智能电视Mini,5个/套
53,3,7921.99,11,0.15,谷歌智能开关Standard,2个/包
53,5,9731.55,13,0.1,飞利浦智能洗衣机Elite,2个/包
53,6,4726.66,6,0.2,博世智能摄像头Ultra,2个/包
53,9,6098.16,20,0.1,松下智能空调Lite,1套/箱
54,2,8287.72,9,0.05,小米智能插座Advanced,3个/套
54,5,10180.56,18,0.0,飞利浦智能洗衣机Elite,2个/包
54,10,7844.33,11,0.15,小米智能音箱Basic,1台/件
55,1,3406.09,8,0.1,松下智能电视Mini,5个/套
55,4,4937.0,9,0.15,格力智能手环Mini,1个/盒
55,6,4591.37,14,0.2,博世智能摄像头Ultra,2个/包
55,8,3185.0,19,0.1,苹果智能空调Max,1个/盒
55,9,6081.83,6,0.0,松下智能空调Lite,1套/箱
56,3,8300.22,7,0.0,谷歌智能开关Standard,2个/包
56,8,3328.66,2,0.05,苹果智能空调Max,1个/盒
57,1,3242.3,8,0.15,松下智能电视Mini,5个/套
58,5,9840.61,9,0.1,飞利浦智能洗衣机Elite,2个/包
59,3,8264.8,10,0.0,谷歌智能开关Standard,2个/包
59,5,10284.37,5,0.1,飞利浦智能洗衣机Elite,2个/包
59,6,4327.99,11,0.2,博世智能摄像头Ultra,2个/包
59,7,2429.81,5,0.05,谷歌智能空气净化器Standard,3个/套
60,3,8335.32,2,0.1,谷歌智能开关Standard,2个/包
60,4,4977.78,5,0.05,格力智能手环Mini,1个/盒
60,8,3281.41,20,0.0,苹果智能空调Max,1个/盒
60,9,5713.9,2,0.05,松下智能空调Lite,1套/箱
61,4,4900.3,5,0.0,格力智能手环Mini,1个/盒
61,5,9830.0,20,0.15,飞利浦智能洗衣机Elite,2个/包
61,9,6052.87,18,0.2,松下智能空调Lite,1套/箱
62,2,7978.46,5,0.15,小米智能插座Advanced,3个/套
62,3,8146.92,20,0.2,谷歌智能开关Standard,2个/包
62,8,3192.66,2,0.1,苹果智能空调Max,1个/盒
62,9,5718.89,7,0.1,松下智能空调Lite,1套/箱
63,1,3351.61,13,0.0,松下智能电视Mini,5个/套
63,7,2656.87,7,0.05,谷歌智能空气净化器Standard,3个/套
64,1,3240.3,20,0.05,松下智能电视Mini,5个/套
65,1,3320.55,15,0.05,松下智能电视Mini,5个/套
65,7,2453.11,16,0.1,谷歌智能空气净化器Standard,3个/套
66,2,8360.36,2,0.2,小米智能插座Advanced,3个/套
66,3,8384.1,15,0.2,谷歌智能开关Standard,2个/包
66,4,4833.31,4,0.0,格力智能手环Mini,1个/盒
66,5,10056.39,20,0.0,飞利浦智能洗衣机Elite,2个/包
67,2,8292.05,4,0.2,小米智能插座Advanced,3个/套
67,3,8334.05,2,0.05,谷歌智能开关Standard,2个/包
67,6,4497.17,20,0.1,博世智能摄像头Ultra,2个/包
67,8,3190.96,10,0.2,苹果智能空调Max,1个/盒
67,10,7979.66,10,0.2,小米智能音箱Basic,1台/件
68,2,8022.97,20,0.05,小米智能插座Advanced,3个/套
68,7,2458.92,6,0.2,谷歌智能空气净化器Standard,3个/套
68,8,3156.4,11,0.15,苹果智能空调Max,1个/盒
68,9,5821.65,15,0.15,松下智能空调Lite,1套/箱
69,8,3133.79,13,0.2,苹果智能空调Max,1个/盒
69,9,5604.05,8,0.2,松下智能空调Lite,1套/箱
70,1,3384.2,11,0.0,松下智能电视Mini,5个/套
70,2,8697.61,18,0.05,小米智能插座Advanced,3个/套
70,3,8281.56,11,0.1,谷歌智能开关Standard,2个/包
70,10,7492.89,2,0.0,小米智能音箱Basic,1台/件
71,5,9732.98,12,0.2,飞利浦智能洗衣机Elite,2个/包
71,10,7955.18,10,0.15,小米智能音箱Basic,1台/件
72,1,3452.96,3,0.1,松下智能电视Mini,5个/套
72,2,8689.26,8,0.0,小米智能插座Advanced,3个/套
72,5,10034.44,5,0.05,飞利浦智能洗衣机Elite,2个/包
73,2,8233.59,4,0.1,小米智能插座Advanced,3个/套
73,4,5232.96,18,0.2,格力智能手环Mini,1个/盒
73,6,4317.62,20,0.1,博世智能摄像头Ultra,2个/包
73,7,2488.55,1,0.05,谷歌智能空气净化器Standard,3个/套
73,9,6101.17,7,0.2,松下智能空调Lite,1套/箱
74,1,3338.44,5,0.2,松下智能电视Mini,5个/套
74,5,9948.21,20,0.15,飞利浦智能洗衣机Elite,2个/包
74,6,4665.45,13,0.1,博世智能摄像头Ultra,2个/包
75,3,8075.91,12,0.0,谷歌智能开关Standard,2个/包
75,5,9815.21,7,0.0,飞利浦智能洗衣机Elite,2个/包
76,2,8308.37,2,0.05,小米智能插座Advanced,3个/套
76,4,4982.94,12,0.15,格力智能手环Mini,1个/盒
76,7,2607.81,5,0.1,谷歌智能空气净化器Standard,3个/套
77,5,9746.5,4,0.0,飞利浦智能洗衣机Elite,2个/包
77,6,4636.21,12,0.05,博世智能摄像头Ultra,2个/包
77,7,2494.69,17,0.2,谷歌智能空气净化器Standard,3个/套
77,8,3257.39,9,0.1,苹果智能空调Max,1个/盒
78,2,8127.39,14,0.15,小米智能插座Advanced,3个/套
78,6,4401.43,1,0.1,博世智能摄像头Ultra,2个/包
78,8,3197.16,7,0.05,苹果智能空调Max,1个/盒
79,1,3484.92,14,0.0,松下智能电视Mini,5个/套
80,1,3531.56,7,0.15,松下智能电视Mini,5个/套
80,2,8057.35,3,0.0,小米智能插座Advanced,3个/套
80,8,3214.29,2,0.15,苹果智能空调Max,1个/盒
80,10,7547.86,11,0.0,小米智能音箱Basic,1台/件
81,1,3392.65,2,0.15,松下智能电视Mini,5个/套
81,7,2518.84,6,0.15,谷歌智能空气净化器Standard,3个/套
81,10,7685.62,1,0.1,小米智能音箱Basic,1台/件
82,3,7804.35,10,0.0,谷歌智能开关Standard,2个/包
82,4,5032.7,13,0.0,格力智能手环Mini,1个/盒
82,7,2656.69,17,0.05,谷歌智能空气净化器Standard,3个/套
83,1,3421.41,11,0.2,松下智能电视Mini,5个/套
83,2,8352.5,5,0.05,小米智能插座Advanced,3个/套
83,8,3099.35,6,0.05,苹果智能空调Max,1个/盒
84,10,7756.41,12,0.05,小米智能音箱Basic,1台/件
85,9,5722.53,20,0.2,松下智能空调Lite,1套/箱
86,6,4509.01,8,0.05,博世智能摄像头Ultra,2个/包
86,7,2610.52,14,0.15,谷歌智能空气净化器Standard,3个/套
86,8,3324.03,5,0.2,苹果智能空调Max,1个/盒
86,9,5887.61,13,0.1,松下智能空调Lite,1套/箱
86,10,7927.68,8,0.15,小米智能音箱Basic,1台/件
87,7,2469.2,9,0.15,谷歌智能空气净化器Standard,3个/套
88,3,7942.45,10,0.15,谷歌智能开关Standard,2个/包
88,4,4912.17,8,0.05,格力智能手环Mini,1个/盒
88,8,3302.79,1,0.0,苹果智能空调Max,1个/盒
88,10,7500.02,9,0.05,小米智能音箱Basic,1台/件
89,1,3437.22,6,0.1,松下智能电视Mini,5个/套
89,6,4404.07,14,0.1,博世智能摄像头Ultra,2个/包
89,9,5770.66,4,0.0,松下智能空调Lite,1套/箱
90,2,8187.67,3,0.05,小米智能插座Advanced,3个/套
90,6,4572.64,9,0.0,博世智能摄像头Ultra,2个/包
91,6,4621.94,10,0.1,博世智能摄像头Ultra,2个/包
92,1,3573.88,11,0.05,松下智能电视Mini,5个/套
92,4,5203.68,18,0.0,格力智能手环Mini,1个/盒
92,5,10178.47,9,0.15,飞利浦智能洗衣机Elite,2个/包
92,7,2518.94,12,0.0,谷歌智能空气净化器Standard,3个/套
93,9,5591.31,5,0.0,松下智能空调Lite,1套/箱
94,1,3576.22,6,0.1,松下智能电视Mini,5个/套
94,3,7903.66,1,0.0,谷歌智能开关Standard,2个/包
94,5,9428.33,11,0.1,飞利浦智能洗衣机Elite,2个/包
94,9,5914.24,17,0.15,松下智能空调Lite,1套/箱
95,1,3447.84,14,0.2,松下智能电视Mini,5个/套
95,4,5069.39,4,0.0,格力智能手环Mini,1个/盒
95,5,9877.76,2,0.15,飞利浦智能洗衣机Elite,2个/包
95,9,5654.39,20,0.05,松下智能空调Lite,1套/箱
96,2,8745.65,7,0.0,小米智能插座Advanced,3个/套
96,3,8415.67,10,0.15,谷歌智能开关Standard,2个/包
96,6,4529.65,3,0.2,博世智能摄像头Ultra,2个/包
96,10,8041.89,8,0.1,小米智能音箱Basic,1台/件
97,9,5722.12,4,0.1,松下智能空调Lite,1套/箱
98,1,3365.74,3,0.15,松下智能电视Mini,5个/套
98,5,9998.23,5,0.0,飞利浦智能洗衣机Elite,2个/包
98,6,4690.92,17,0.2,博世智能摄像头Ultra,2个/包
98,7,2577.14,15,0.1,谷歌智能空气净化器Standard,3个/套
98,8,3166.52,2,0.2,苹果智能空调Max,1个/盒
99,2,8422.21,14,0.2,小米智能插座Advanced,3个/套
99,6,4488.17,2,0.1,博世智能摄像头Ultra,2个/包
99,7,2436.85,12,0.1,谷歌智能空气净化器Standard,3个/套
99,10,7991.94,5,0.05,小米智能音箱Basic,1台/件
100,3,7766.25,6,0.2,谷歌智能开关Standard,2个/包
100,5,10011.41,14,0.2,飞利浦智能洗衣机Elite,2个/包
100,6,4295.06,19,0.15,博世智能摄像头Ultra,2个/包
100,9,5643.64,14,0.1,松下智能空调Lite,1套/箱
100,10,7751.06,17,0.0,小米智能音箱Basic,1台/件
